doi,type,date
10.1145/3206505.3206597,proceedings-article,2018
10.1145/3150928.3150961,proceedings-article,2017
10.1109/indin.2015.7281859,proceedings-article,2015-07
10.1109/aps.2007.4396634,proceedings-article,2007-06
10.1504/ijwgs.2005.008391,journal-article,2005
10.1145/1277741.1277775,proceedings-article,2007
10.1109/wi-iat.2014.97,proceedings-article,2014-08
10.1080/08839510490463442,journal-article,2004-07
10.1109/tmm.2014.2305917,journal-article,2014-06
10.1007/11558590_18,proceedings-article,2005
10.1016/j.pmcj.2011.12.001,journal-article,2012-02
10.1186/1471-2105-8-s2-s7,journal-article,2007-05
10.1016/j.jsc.2017.07.009,journal-article,2018-03
10.1007/978-3-319-32699-3_12,book-chapter,2016
10.1007/3-540-45619-8_37,proceedings-article,2002
10.5220/0005220303120319,proceedings-article,2015
10.1109/34.765653,journal-article,1999-05
10.1016/s0165-1684(02)00319-5,journal-article,2002-12
10.1109/mascots.2005.29,proceedings-article,not-defined
10.1109/mis.2008.57,journal-article,2008-07
10.1016/j.micpro.2015.06.004,journal-article,2015-11
10.1007/978-3-319-26916-0_9,proceedings-article,2015
10.1007/978-3-642-04957-6_23,proceedings-article,2009
10.1007/978-3-319-16549-3,proceedings,2015
10.2196/jmir.9266,journal-article,2017-12-13
10.1080/17445760.2012.668546,journal-article,2012-10
10.1016/j.ijar.2009.03.004,journal-article,2009-06
10.4018/978-1-4666-3926-3.ch001,book-chapter,not-defined
10.1007/11757283,proceedings,2006
10.1007/978-0-387-09695-7_17,proceedings-article,2008
10.1145/1556262.1556285,proceedings-article,2002
10.1007/11961536,proceedings,2006
10.1007/s00453-014-9957-6,journal-article,2015
10.4204/eptcs.6.6,proceedings-article,2009-10-08
10.1109/cicare.2014.7007830,proceedings-article,2014-12
10.1109/ithings-greencom-cpscom-smartdata.2017.58,proceedings-article,2017-06
10.1007/s00607-013-0288-2,journal-article,2013-01-25
10.1145/2973750.2985628,proceedings-article,2016
10.1504/ijmso.2011.042488,journal-article,2011
10.1007/s00453-010-9427-8,journal-article,2010-07-17
10.1016/j.apm.2015.12.036,journal-article,2016-04
10.1109/seaa.2009.33,proceedings-article,2009
10.1109/sies.2013.6601465,proceedings-article,2013-06
10.1109/lcomm.2010.110310.101480,journal-article,2011-01
10.1007/978-3-642-35488-5_2,book-chapter,2013
10.1109/wcre.2012.23,proceedings-article,2012-10
10.1109/ipdps.2009.5160851,proceedings-article,2009
10.4230/lipics.cpm.2017.29,proceedings-article,2017
10.1117/1.3146811,journal-article,2009-06-01
10.1007/978-3-319-93641-3_6,proceedings-article,2018
10.1007/978-3-662-49122-5_24,proceedings-article,2015-12-25
10.1007/978-3-319-07869-4_26,proceedings-article,2014
10.1109/sefm.2010.41,proceedings-article,2010-09
10.1080/0232929031000080623,journal-article,2003-12
10.1216/rmjm/1021249435,journal-article,2001-12
10.4108/icst.autonomics2007.2188,proceedings-article,2007
10.1109/iscc.2016.7543749,proceedings-article,2016-06
10.1109/icassp.2011.5947442,proceedings-article,2011-05
10.1007/978-3-642-29166-1_19,proceedings-article,2012
10.1007/978-3-642-10433-6_10,proceedings-article,2009
10.1006/inco.2000.2919,journal-article,2001-05
10.1016/s0169-023x(03)00060-0,journal-article,2003-11
10.1016/j.image.2016.02.003,journal-article,2016-04
10.1145/2964284.2964321,proceedings-article,2016
10.1016/j.neucom.2014.07.052,journal-article,2015
10.1007/978-3-642-34274-5_26,proceedings-article,2013
10.1093/bioinformatics/btt664,journal-article,2013-11-15
10.1007/978-3-319-39345-2,proceedings,2016
10.4230/oasics.cmn.2014.24,proceedings-article,2014
10.1109/jlt.2016.2627618,journal-article,2017-01-01
10.1007/s10115-008-0177-8,journal-article,2008-11-01
10.1002/rsa.10089,journal-article,2003-06-18
10.1007/3-540-36124-3_61,proceedings-article,2002
10.1007/978-3-319-92040-5_1,proceedings-article,2018
10.1007/978-3-642-19379-8,proceedings,2011
10.1007/978-3-642-31546-6_10,proceedings-article,2013
10.1109/iros.2011.6095002,proceedings-article,2011-09
10.1007/978-3-540-89982-2_76,proceedings-article,2008
10.4108/eai.1-12-2015.150714,journal-article,2015-12-01
10.1109/sibgrapi.2010.54,proceedings-article,2010-08
10.1109/twc.2015.2391126,journal-article,2015-05
10.1007/11787006_26,proceedings-article,2006
10.1186/s40064-016-2659-6,journal-article,2016-07-15
10.1007/978-3-642-41184-7_64,proceedings-article,2013
10.1007/978-3-319-49109-7_66,proceedings-article,2016
10.1109/tpds.2014.2350495,journal-article,2015-09-01
10.1145/2744769.2744901,proceedings-article,2015
10.1007/s005300050103,journal-article,1998-11-01
10.1145/3181776,journal-article,2018
10.1002/spe.998,journal-article,2010-09-07
10.1016/j.adhoc.2007.02.004,journal-article,2007-08
10.1007/978-3-319-46295-0_7,proceedings-article,2016
10.1016/j.pmcj.2018.08.002,journal-article,2018-10
10.1016/j.procs.2017.05.451,proceedings-article,2017
10.1109/icns.2006.16,proceedings-article,2006
10.1007/978-3-662-48899-7_22,proceedings-article,2015
10.1007/978-3-319-13413-0,proceedings,2014
10.1007/978-0-387-78448-9_1,proceedings-article,2008
10.1109/icce.2013.6487017,proceedings-article,2013-01
10.1109/gscit.2016.16,proceedings-article,2016-07
10.1177/155014779764287,journal-article,2016-07
10.1007/s00145-016-9249-1,journal-article,2017-01-04
10.1145/3183377.3183385,proceedings-article,2018
10.1007/978-3-319-23219-5_20,proceedings-article,2015
10.1109/cse.2015.58,proceedings-article,2015-10
10.1007/978-3-540-88011-0_44,proceedings-article,2008
10.1109/jiot.2015.2417684,journal-article,2015-12
10.1007/978-3-540-27793-4_11,proceedings-article,2004
10.1109/tpami.2013.197,journal-article,2014-05
10.3233/978-1-60750-073-5-109,proceedings-article,2008
10.1007/3-540-61739-6_39,proceedings-article,1996
10.1145/2559636.2559854,proceedings-article,2014
10.1162/105474603763835378,journal-article,2003
10.1109/cisis.2010.138,proceedings-article,2010-02
10.3217/jucs-019-11-1543,journal-article,2013
10.23919/icif.2018.8455621,proceedings-article,2018-07
10.1145/1363686.1364209,proceedings-article,2008
10.1109/mdm.2013.19,proceedings-article,2013-06
10.1016/j.jss.2012.03.056,journal-article,2012-08
10.1007/978-3-319-63315-2_52,proceedings-article,2017
10.1007/978-3-642-27302-5_8,proceedings-article,2011
10.3233/fi-2017-1568,journal-article,2017-08-09
10.1109/cason.2011.6085920,proceedings-article,2011-10
10.1007/978-3-642-36249-1_2,book-chapter,2013
10.1016/j.jvlc.2015.10.012,journal-article,2016-02
10.1109/nafips.2006.365449,proceedings-article,2006-06
10.1016/j.scico.2014.06.003,journal-article,2015-02
10.1007/978-3-642-04146-4_47,proceedings-article,2009
10.1016/j.chb.2016.09.056,journal-article,2017
10.3233/ia-150088,journal-article,2015-12-19
10.1093/bioinformatics/btu401,journal-article,2014-06-24
10.1016/j.cviu.2015.11.017,journal-article,2016-07
10.1109/icassp.2009.4959694,proceedings-article,2009-04
10.1007/978-3-319-49055-7_13,proceedings-article,2016
10.1145/584017.584020,journal-article,1998-04-01
10.1007/978-3-642-14355-7_7,proceedings-article,2010
10.1007/978-3-642-40246-3_64,proceedings-article,2013
10.5194/isprsarchives-xl-5-63-2014,journal-article,2014-06-05
10.1016/j.amc.2012.06.031,journal-article,2012-09
10.1109/noms.2010.5488479,proceedings-article,2010
10.3390/en11040736,journal-article,2018-03-23
10.1007/978-3-642-34010-9_3,proceedings-article,2012
10.1613/jair.5373,journal-article,2017-09-13
10.1109/tgcn.2017.2714205,journal-article,2017-09
10.1109/itcc.2001.918825,proceedings-article,2001
10.1109/fuzzy.2007.4295443,proceedings-article,2007-06
10.1007/978-3-642-03829-7,proceedings,2009
10.1186/s13059-014-0439-6,journal-article,2014-08
10.1016/j.cam.2014.05.001,journal-article,2015-01
10.1109/wise.2000.882409,proceedings-article,2000
10.1109/passat/socialcom.2011.77,proceedings-article,2011-10
10.1007/3-540-45526-4_9,proceedings-article,2001
10.1016/s0169-023x(02)00127-1,journal-article,2002-12
10.1145/3130800.3130809,journal-article,2017-11-20
10.1109/mdat.2017.2755642,journal-article,2018-06
10.1109/pimrc.2018.8581038,proceedings-article,2018-09
10.1109/ivs.2017.7995934,proceedings-article,2017-06
10.1002/atr.184,journal-article,2011-10
10.1109/69.506712,journal-article,1996-06
10.1145/3240323.3241616,proceedings-article,2018
10.1109/iccd.1996.563524,proceedings-article,1996
10.1016/j.entcs.2008.04.073,journal-article,2008-05
10.1109/icdcs.2018.00030,proceedings-article,2018-07
10.1007/978-3-540-39804-2_11,proceedings-article,2003
10.1007/978-3-319-07440-5_26,proceedings-article,2014
10.1109/haptics.2014.6775453,proceedings-article,2014-02
10.1007/978-3-540-69478-6_32,proceedings-article,2008
10.1109/icmew.2013.6618390,proceedings-article,2013-07
10.1145/2742060.2742098,proceedings-article,2015
10.1007/978-1-4471-4282-9_9,book-chapter,2013
10.1145/2909132.2926071,proceedings-article,2016
10.1007/3-540-44691-5_13,proceedings-article,2001
10.1016/j.entcs.2008.10.024,journal-article,2008-11
10.1007/978-3-642-31753-8_22,proceedings-article,2012
10.1007/s12652-016-0348-5,journal-article,2016
10.1109/mic.2009.43,journal-article,2009-03
10.1109/cvpr.2017.749,proceedings-article,2017-07
10.1109/prni.2014.6858537,proceedings-article,2014-06
10.1145/3269206.3272017,proceedings-article,2018
10.1145/1816123.1816198,proceedings-article,2010
10.1109/percom.2004.1276853,proceedings-article,2004
10.1145/502874.502903,proceedings-article,1984
10.1007/978-3-642-38706-7_22,proceedings-article,2013
10.1007/978-3-642-15294-8_13,proceedings-article,2010
10.3390/s140508363,journal-article,2014-05-12
10.24963/ijcai.2017/14,proceedings-article,2017-08
10.1016/j.entcs.2010.12.003,journal-article,2010-12
10.1145/2487259.2487262,journal-article,2013-06-01
10.1109/icpr.2014.477,proceedings-article,2014-08
10.1007/978-3-540-30470-8_55,proceedings-article,2004
10.1137/1.9781611972825.89,proceedings-article,2012-04-26
10.1186/1755-8794-2-11,journal-article,2009-03-03
10.1007/11867340_16,proceedings-article,2006
10.4230/lipics.stacs.2008.1360,proceedings-article,2008
10.1007/s11069-015-1959-4,journal-article,2015-09-18
10.3168/jds.2010-3467,journal-article,2011-04
10.1109/brics-cci-cbic.2013.37,proceedings-article,2013-09
10.1007/0-387-31166-1_9,proceedings-article,2005
10.1016/j.wasman.2015.12.005,journal-article,2016-02
10.1016/j.entcs.2007.01.054,journal-article,2007-06
10.1109/coginfocom.2013.6719270,proceedings-article,2013-12
10.1007/978-3-642-04447-2_106,proceedings-article,2009
10.1063/1.3637764,proceedings-article,2011
10.1145/2386995.2387011,proceedings-article,2012
10.1504/ijcc.2017.10011284,journal-article,2017
10.1007/s11036-018-1116-x,journal-article,2018
10.1109/icpr.2002.1047924,proceedings-article,2002
10.1145/1953355.1953382,proceedings-article,2011
10.1371/journal.pone.0047786,journal-article,2012-10-19
10.1007/978-3-319-12157-4_14,proceedings-article,2014
10.1109/pccc.2010.5682302,proceedings-article,2010-12
10.1504/ijkesdp.2009.028989,journal-article,2009
10.1504/ijhpcn.2013.056525,journal-article,2013
10.1109/access.2018.2816338,journal-article,2018
10.1007/978-3-642-39179-8_10,proceedings-article,2013
10.5220/0006246703680375,proceedings-article,2017
10.1016/j.eswa.2009.04.041,journal-article,2009-12
10.1007/978-3-540-25840-7_12,proceedings-article,2004
10.1007/978-3-642-32759-9_36,proceedings-article,2012
10.3390/s140917786,journal-article,2014-09-24
10.1145/2959100.2959201,proceedings-article,2016
10.1109/wd.2011.6098142,proceedings-article,2011-10
10.1007/978-1-4471-5628-4_10,book-chapter,2013
10.1145/1454008.1454014,proceedings-article,2008
10.1109/hicss.2005.468,proceedings-article,2005
10.1109/cibcb.2004.1393958,proceedings-article,2004
10.1109/socialcom.2013.33,proceedings-article,2013-09
10.1007/11676935_34,proceedings-article,2006
10.1007/978-3-642-25878-7_40,proceedings-article,2012
10.4018/978-1-4666-9530-6.ch003,book-chapter,2016
10.1145/292182.292197,journal-article,1998-10-01
10.1007/978-3-319-04166-7_1,proceedings-article,2013
10.1016/j.sysarc.2006.02.002,journal-article,2006-08
10.1023/a:1022407907596,journal-article,2003-02
10.1109/tce.2006.273146,journal-article,2006-11
10.1109/bibm.2012.6392719,proceedings-article,2012-10
10.1007/978-3-540-31970-2_7,proceedings-article,2005
10.1109/rtcsa.2009.44,proceedings-article,2009-08
10.1016/j.adhoc.2016.09.016,journal-article,2017-01
10.1109/wimob.2009.35,proceedings-article,2009-10
10.4081/ejh.2010.e3,journal-article,2010-02-16
10.1007/978-3-642-23713-3_14,proceedings-article,2011
10.1109/tifs.2014.2307197,journal-article,2014
10.1145/2659787.2659828,proceedings-article,2014
10.1109/tmc.2009.134,journal-article,2010-03
10.1109/iceccs.1995.479344,proceedings-article,1995
10.1007/978-94-007-0011-6_13,book-chapter,2010-10-07
10.1109/noms.2006.1687575,proceedings-article,2006
10.1007/978-3-662-54577-5_4,proceedings-article,2017
10.5220/0006490703430349,proceedings-article,2017
10.1007/bf01418979,journal-article,1995-03
10.1016/j.jlamp.2015.10.005,journal-article,2017-01
10.1109/embc.2017.8036968,proceedings-article,2017-07
10.1007/978-3-642-32273-0_7,proceedings-article,2012
10.1145/2611009.2611012,proceedings-article,2014
10.5220/0005968103100317,proceedings-article,2016
10.1007/978-3-642-33932-5_47,proceedings-article,2013
10.1007/978-3-642-15291-7,proceedings,2010
10.4108/icst.ambisys2008.2911,proceedings-article,2008
10.1093/nar/gkq391,journal-article,2010-05-16
10.1016/j.entcs.2008.10.017,journal-article,2008-10
10.1016/j.entcs.2007.12.006,journal-article,2008-01
10.1016/j.future.2010.11.019,journal-article,2011-05
10.1109/ntms.2016.7792477,proceedings-article,2016-11
10.1007/978-3-642-38613-8_21,proceedings-article,2013
10.1109/dft.2017.8244444,proceedings-article,2017-10
10.3389/fncom.2011.00056,journal-article,2011
10.1109/hpcs.2017.75,proceedings-article,2017-07
10.1145/2809563.2809621,proceedings-article,2015
10.1007/3-540-45788-7_9,proceedings-article,2002
10.1109/tcad.2004.839489,journal-article,2005-01
10.1016/j.is.2016.02.003,journal-article,2016-06
10.2316/p.2011.742-034,proceedings-article,2011
10.1109/dexa.2007.106,proceedings-article,2007-09
10.1007/978-3-642-04070-2_103,proceedings-article,2009
10.1145/2568223,journal-article,2014-04-17
10.3233/fi-2014-1104,journal-article,2014
10.1109/distra.2017.8167666,proceedings-article,2017-10
10.1007/978-3-319-50983-9_3,proceedings-article,2016
10.1109/mdm.2007.54,proceedings-article,2007-05
10.1145/345513.345273,proceedings-article,2000
10.1007/978-3-642-38527-8,proceedings,2013
10.1109/icpr.2002.1048270,proceedings-article,2002
10.1007/s11192-012-0762-1,journal-article,2012-05-26
10.1016/j.disc.2005.12.053,journal-article,2007-07
10.1109/compsacw.2014.55,proceedings-article,2014-07
10.1007/978-3-642-24364-6_5,proceedings-article,2011
10.1109/roman.2010.5598607,proceedings-article,2010-09
10.1109/scam.2002.1134108,proceedings-article,2002
10.4304/jcp.9.7.1536-1541,journal-article,2014-07-01
10.1145/2487788.2488054,proceedings-article,2013
10.1109/iv.2005.64,proceedings-article,2005
10.1145/2896825.2896831,proceedings-article,2016
10.1007/978-3-540-75404-6_25,proceedings-article,2008
10.1145/1507244.1507247,journal-article,2009-04-01
