level,session_date,journal_number_open,citation_number_open,h_index_open,journal_number_real,citation_number_real,h_index_real
2,2018-04-06,27,1353,23,24,1443,23
2,2018-04-06,18,109,6,23,210,8
2,2018-04-06,13,110,7,12,160,9
2,2016-12-02,9,140,8,9,158,8
2,2018-04-06,13,234,11,9,158,8
2,2018-04-06,6,365,12,5,427,11
1,2016-12-02,23,568,12,19,720,12
1,2018-04-06,9,461,13,11,948,16
2,2016-12-02,7,46,5,7,148,7
2,2018-04-06,9,93,7,7,148,7
2,2018-04-06,7,34,5,8,149,8
2,2016-12-02,3,7,2,4,37,4
2,2018-04-06,28,425,11,25,572,13
1,2016-12-02,4,175,8,4,587,14
2,2016-12-02,9,46,4,10,191,6
2,2016-12-02,8,69,4,8,128,6
2,2017-12-05,7,89,5,8,128,6
1,2018-04-06,22,499,12,22,507,12
1,2016-12-02,34,463,13,28,971,18
2,2018-04-06,3,17,3,2,57,5
2,2016-12-02,4,328,11,4,275,9
2,2016-12-02,23,124,5,13,170,7
1,2016-12-02,20,390,9,16,609,14
2,2018-04-06,3,16,3,4,118,7
1,2018-04-06,14,141,8,12,179,8
2,2018-04-06,11,141,8,12,179,8
2,2018-04-06,5,67,5,6,246,8
2,2016-12-02,31,191,8,28,439,13
2,2018-04-06,13,158,7,15,280,11
2,2018-04-06,11,104,7,11,128,8
2,2018-04-06,12,36,4,11,178,8
2,2018-04-06,12,191,7,11,232,8
2,2017-12-05,7,116,6,8,142,6
2,2016-12-02,12,86,5,16,243,9
2,2016-12-02,15,511,12,15,721,15
1,2016-12-02,21,324,11,19,617,13
2,2018-04-06,9,57,5,9,88,6
2,2016-12-02,5,35,4,5,139,6
2,2017-08-04,8,203,7,8,401,10
1,2017-04-03,46,825,15,33,536,11
2,2017-04-03,39,712,15,33,536,11
2,2017-08-04,10,196,9,4,273,10
2,2018-04-06,5,106,4,5,181,6
2,2017-04-03,7,27,4,6,72,6
2,2018-04-06,9,40,5,6,72,6
2,2018-04-06,7,67,5,8,94,6
2,2018-04-06,13,315,10,11,162,7
1,2018-04-06,12,104,6,12,238,11
2,2016-12-02,8,53,5,12,238,11
2,2018-04-06,11,92,6,12,238,11
2,2016-12-02,9,97,7,8,130,7
1,2018-04-06,8,64,5,7,226,9
2,2017-08-04,6,155,4,7,334,6
2,2018-04-06,11,93,5,6,146,7
2,2017-04-03,5,55,4,7,123,5
2,2018-04-06,10,89,6,7,123,5
2,2016-12-02,13,357,10,12,545,12
2,2017-08-04,2,99,6,1,157,6
1,2016-12-02,26,1120,16,28,2303,22
1,2016-12-02,7,131,6,8,332,12
2,2017-12-05,4,98,6,5,142,6
2,2016-12-02,16,187,9,18,187,7
2,2018-04-06,13,262,9,18,187,7
2,2018-04-06,8,77,5,9,151,5
2,2018-04-06,16,136,6,11,119,5
2,2018-04-06,4,187,8,8,207,9
2,2018-04-06,7,136,8,5,186,7
1,2016-12-02,13,197,8,16,319,10
1,2016-12-02,29,420,13,25,501,14
2,2017-04-03,10,49,4,5,140,8
2,2018-04-06,13,52,5,5,140,8
2,2016-12-02,9,74,5,11,243,8
2,2016-12-02,7,29,3,6,56,4
2,2016-12-02,13,28,3,10,155,6
2,2017-12-05,15,36,3,10,155,6
2,2018-04-06,7,89,6,6,124,6
1,2017-08-04,31,419,9,30,693,13
1,2016-12-02,14,165,8,14,434,13
1,2018-04-06,13,255,9,14,434,13
1,2016-12-02,14,151,7,15,388,11
1,2017-12-05,16,196,8,15,388,11
2,2017-12-05,8,170,7,8,215,7
1,2016-12-02,26,128,7,23,283,10
1,2017-12-05,34,226,9,23,283,10
2,2016-12-02,16,128,7,23,283,10
2,2016-12-02,0,13,3,0,12,2
2,2018-04-06,11,58,6,10,75,6
2,2018-04-06,4,13,3,6,15,3
2,2018-04-06,10,201,6,10,158,6
2,2018-04-06,9,33,4,7,58,5
2,2018-04-06,2,81,6,4,139,7
1,2018-04-06,6,211,7,8,258,9
2,2018-04-06,5,211,7,8,258,9
1,2016-12-02,7,29,4,11,228,8
2,2016-12-02,7,29,4,11,228,8
2,2018-04-06,6,47,5,11,228,8
1,2018-04-06,27,178,7,20,736,15
2,2017-12-05,7,543,6,5,240,8
1,2017-08-04,19,329,10,18,651,15
2,2016-12-02,19,67,5,13,87,6
2,2018-04-06,18,145,8,13,87,6
2,2017-12-05,10,154,7,9,327,9
2,2018-04-06,10,146,9,8,133,7
1,2016-12-02,0,0,1,0,1,1
2,2018-04-06,3,9,3,0,7,1
2,2018-04-06,7,88,7,8,95,6
2,2018-04-06,15,97,7,8,91,6
2,2018-04-06,27,55,5,15,67,6
1,2017-08-04,11,54,4,12,154,8
1,2016-12-02,40,106,6,41,342,12
2,2016-12-02,5,45,3,5,123,4
2,2017-12-05,8,151,7,8,227,7
2,2017-04-03,16,842,16,13,1072,19
1,2017-04-03,15,800,12,11,1717,17
2,2016-12-02,14,20,4,14,89,6
1,2016-12-02,26,178,8,38,492,13
2,2018-04-06,6,242,8,5,339,11
1,2018-04-06,80,5578,32,57,9362,42
1,2017-12-05,19,98,6,19,521,14
1,2016-12-02,18,64,5,17,173,8
1,2017-12-05,21,91,6,17,173,8
2,2016-12-02,0,6,2,0,10,1
1,2016-12-02,35,504,13,35,977,16
2,2016-12-02,5,409,7,7,552,8
2,2018-04-06,8,536,8,7,552,8
2,2016-12-02,8,64,5,9,127,5
2,2018-04-06,12,185,9,12,344,9
2,2017-12-05,22,305,11,21,510,13
1,2016-12-02,2,247,6,1,703,8
1,2016-12-02,13,49,4,14,241,8
2,2016-12-02,8,27,4,14,241,8
2,2017-12-05,8,53,4,14,241,8
2,2016-12-02,6,56,5,6,176,6
1,2017-04-03,62,1976,22,57,3041,28
1,2016-12-02,33,1352,21,30,1495,21
2,2017-12-05,29,348,12,26,469,13
1,2018-04-06,9,335,12,7,454,12
2,2017-04-03,3,206,9,7,454,12
2,2016-12-02,12,246,9,11,309,11
2,2016-12-02,7,73,5,8,175,7
1,2016-12-02,36,545,12,37,962,17
2,2017-04-03,5,337,11,4,593,13
2,2018-04-06,20,132,7,12,155,7
1,2016-12-02,17,242,8,19,634,12
2,2018-04-06,6,173,8,7,220,8
2,2016-12-02,18,84,6,15,198,8
1,2017-08-04,27,1970,14,20,2907,15
2,2016-12-02,10,146,7,11,297,8
2,2018-04-06,8,199,7,11,297,8
2,2017-12-05,17,206,9,11,142,7
2,2018-04-06,6,348,10,3,624,8
2,2017-12-05,15,285,11,16,502,11
2,2016-12-02,15,107,6,15,376,12
2,2017-04-03,15,156,6,15,348,11
2,2018-04-06,3,10,2,7,107,7
1,2016-12-02,10,152,7,10,417,12
2,2016-12-02,8,78,5,10,417,12
1,2018-04-06,12,270,11,14,464,12
1,2018-04-06,17,200,8,16,344,10
2,2016-12-02,10,97,6,16,344,10
2,2018-04-06,9,297,7,11,723,11
1,2016-12-02,20,116,6,18,359,10
1,2018-04-06,18,175,8,18,359,10
2,2016-12-02,3,246,8,2,352,9
2,2018-04-06,5,99,7,4,162,8
2,2016-12-02,16,247,6,15,306,6
2,2017-12-05,4,1189,8,6,663,8
2,2017-04-03,14,215,8,16,412,11
1,2017-04-03,24,348,10,22,561,12
1,2018-04-06,33,448,10,22,561,12
1,2017-12-05,18,339,11,20,771,16
2,2018-04-06,7,140,7,8,231,9
1,2016-12-02,10,138,7,12,304,9
1,2017-12-05,11,175,8,12,304,9
1,2017-12-05,35,380,9,26,677,15
1,2018-04-06,15,132,7,16,372,11
2,2016-12-02,9,64,5,16,372,11
2,2018-04-06,8,80,5,8,146,7
2,2016-12-02,14,117,5,11,161,7
2,2018-04-06,16,178,7,11,161,7
1,2017-12-05,17,283,9,16,1092,18
1,2016-12-02,13,254,8,12,442,9
2,2016-12-02,3,74,5,10,188,7
2,2018-04-06,5,170,8,10,188,7
2,2017-04-03,12,222,10,11,444,13
2,2016-12-02,7,488,13,9,643,14
2,2016-12-02,7,182,7,8,309,10
1,2016-12-02,22,185,7,25,910,14
2,2016-12-02,26,246,11,24,339,12
2,2018-04-06,18,297,13,24,339,12
2,2016-12-02,15,174,8,5,345,9
2,2016-12-02,7,90,5,9,305,9
2,2017-12-05,7,148,8,9,305,9
1,2018-04-06,13,290,9,12,562,10
2,2017-04-03,11,221,9,12,562,10
1,2018-04-06,27,258,9,27,514,13
1,2016-12-02,21,256,10,20,516,13
2,2016-12-02,11,88,4,7,179,4
2,2017-08-04,4,339,11,4,597,13
1,2017-12-05,32,265,10,29,421,11
2,2018-04-06,4,64,6,3,158,9
2,2016-12-02,11,173,8,8,170,6
2,2018-04-06,12,220,9,8,170,6
2,2017-04-03,9,67,6,10,129,7
2,2018-04-06,11,83,6,9,139,7
1,2017-04-03,11,112,7,11,300,11
1,2018-04-06,12,147,7,11,300,11
1,2018-04-06,32,203,8,27,565,15
2,2018-04-06,14,5608,44,10,5487,42
2,2018-04-06,13,190,7,9,289,7
2,2016-12-02,11,139,7,10,307,11
2,2017-12-05,14,186,8,10,307,11
1,2016-12-02,30,167,7,23,567,13
2,2017-12-05,8,149,6,7,206,5
2,2016-12-02,15,199,8,9,305,9
2,2018-04-06,10,133,7,7,177,6
1,2017-12-05,7,353,11,7,1232,18
1,2016-12-02,12,420,11,10,906,16
1,2018-04-06,12,450,11,13,539,12
1,2016-12-02,2,32,4,1,80,6
2,2016-12-02,0,32,4,1,80,6
2,2018-04-06,5,35,3,7,190,7
2,2016-12-02,11,441,14,11,539,12
2,2018-04-06,3,115,5,3,166,6
2,2016-12-02,1,52,5,2,194,7
2,2018-04-06,12,283,9,13,458,10
2,2018-04-06,2,104,5,1,368,8
1,2016-12-02,14,177,8,16,518,13
1,2017-12-05,15,138,6,16,421,10
2,2016-12-02,8,152,7,5,308,10
2,2016-12-02,14,365,8,13,428,8
1,2016-12-02,31,693,13,29,905,16
2,2016-12-02,8,82,7,10,154,7
2,2018-04-06,6,101,7,10,154,7
1,2017-08-04,17,621,13,14,1035,17
2,2017-08-04,12,579,13,14,1035,17
1,2016-12-02,17,110,5,18,357,9
1,2016-12-02,29,434,12,27,792,16
2,2017-04-03,13,117,8,13,172,9
2,2018-04-06,17,170,9,13,172,9
2,2016-12-02,9,243,9,10,327,11
1,2017-04-03,11,273,11,11,508,15
2,2018-04-06,11,248,9,9,331,10
2,2017-08-04,4,117,6,5,161,6
2,2016-12-02,6,87,6,4,361,10
2,2016-12-02,13,106,6,13,184,8
2,2018-04-06,15,161,8,13,184,8
1,2017-12-05,23,468,12,23,1011,17
2,2018-04-06,10,152,7,10,262,9
1,2018-04-06,12,59,4,13,403,12
2,2017-08-04,9,66,5,10,114,7
2,2018-04-06,13,94,7,8,127,6
1,2016-12-02,20,1061,16,21,2078,19
1,2016-12-02,36,523,13,32,744,15
2,2016-12-02,18,262,10,32,744,15
2,2017-08-04,6,38,5,6,122,7
2,2016-12-02,11,193,8,7,231,8
2,2016-12-02,16,21,3,10,86,6
2,2017-12-05,16,30,4,10,86,6
1,2016-12-02,15,654,16,13,762,17
2,2016-12-02,7,365,9,7,486,9
2,2018-04-06,5,548,10,7,486,9
2,2016-12-02,12,70,6,12,186,8
2,2018-04-06,9,95,6,12,186,8
1,2016-12-02,14,333,5,14,629,8
1,2017-12-05,14,375,6,14,629,8
1,2016-12-02,9,166,8,11,455,12
2,2016-12-02,5,151,8,11,455,12
1,2016-12-02,25,212,7,23,502,12
1,2017-12-05,31,324,11,23,502,12
2,2017-04-03,13,54,5,13,183,8
2,2018-04-06,17,67,6,13,183,8
2,2017-08-04,10,187,9,9,184,8
2,2018-04-06,12,225,10,10,235,10
1,2017-04-03,29,200,7,33,440,10
1,2018-04-06,27,425,12,27,720,14
2,2016-12-02,18,619,8,13,340,6
1,2017-08-04,45,487,13,44,949,17
1,2016-12-02,18,108,5,19,363,8
1,2017-12-05,18,136,6,19,363,8
2,2018-04-06,6,544,10,6,946,13
1,2017-12-05,24,332,10,24,591,11
2,2017-12-05,8,147,7,8,300,9
1,2016-12-02,6,27,3,13,157,8
2,2016-12-02,6,27,3,13,157,8
2,2017-04-03,26,406,11,21,994,17
2,2016-12-02,7,136,7,10,286,10
2,2017-04-03,12,110,6,12,555,10
1,2016-12-02,18,252,8,18,865,14
1,2016-12-02,10,183,8,8,279,9
1,2016-12-02,5,66,5,6,350,10
1,2017-12-05,8,80,5,6,350,10
2,2017-12-05,3,211,8,3,580,11
2,2016-12-02,2,330,9,2,406,8
2,2017-12-05,7,60,5,8,118,6
2,2017-04-03,5,124,6,6,194,8
2,2018-04-06,8,134,6,6,194,8
2,2017-12-05,5,140,8,5,220,8
2,2016-12-02,18,334,11,16,599,13
1,2018-04-06,8,369,13,7,904,17
2,2016-12-02,9,68,5,9,158,6
1,2017-12-05,34,797,15,37,1214,17
1,2016-12-02,16,184,8,17,378,10
2,2018-04-06,6,18,3,7,136,7
2,2018-04-06,3,120,7,6,171,8
1,2016-12-02,29,283,10,32,815,16
1,2018-04-06,12,60,5,14,435,9
1,2016-12-02,5,139,7,6,315,10
2,2017-04-03,2,104,8,1,183,9
2,2018-04-06,6,82,6,5,154,9
2,2018-04-06,11,122,5,12,218,8
2,2016-12-02,18,250,11,18,466,13
2,2017-08-04,6,308,9,6,393,9
2,2016-12-02,12,73,5,13,214,8
1,2016-12-02,38,565,11,30,965,13
1,2017-12-05,24,597,14,21,1348,20
1,2017-08-04,16,222,8,17,321,9
2,2016-12-02,6,127,6,17,321,9
1,2016-12-02,12,66,5,11,266,9
1,2018-04-06,14,103,6,11,266,9
2,2016-12-02,5,125,7,4,124,7
2,2018-04-06,9,239,10,4,124,7
2,2018-04-06,11,298,11,7,232,8
2,2018-04-06,6,100,7,9,231,10
2,2018-04-06,13,106,7,13,207,7
2,2016-12-02,12,239,10,10,384,12
2,2016-12-02,4,60,5,4,155,7
1,2017-08-04,9,204,8,14,366,11
1,2016-12-02,12,149,7,13,311,9
1,2018-04-06,16,241,9,13,311,9
2,2016-12-02,4,211,9,5,332,10
2,2016-12-02,9,66,5,8,163,7
2,2018-04-06,11,76,6,8,163,7
2,2016-12-02,23,276,11,23,428,13
2,2016-12-02,6,59,5,5,85,7
1,2016-12-02,12,505,11,10,1189,17
2,2018-04-06,19,124,7,15,194,8
1,2018-04-06,11,60,5,9,233,8
2,2018-04-06,10,50,4,9,233,8
1,2017-12-05,13,113,5,21,335,10
1,2017-12-05,11,218,9,13,443,13
2,2017-12-05,5,257,9,8,521,12
2,2016-12-02,8,149,7,6,104,5
2,2018-04-06,3,30,3,7,387,11
1,2016-12-02,9,69,4,11,941,11
2,2016-12-02,7,27,3,11,941,11
2,2017-12-05,8,104,7,10,346,11
1,2016-12-02,10,90,8,11,325,9
1,2017-12-05,45,292,8,44,855,15
1,2016-12-02,53,1663,19,52,3282,27
1,2017-12-05,55,1743,19,52,3282,27
1,2016-12-02,12,276,10,10,371,11
1,2017-12-05,13,236,10,10,371,11
1,2016-12-02,14,173,9,16,442,12
2,2016-12-02,6,134,8,16,442,12
1,2016-12-02,41,2238,18,39,4290,23
2,2018-04-06,10,46,5,9,105,6
1,2016-12-02,9,229,7,14,523,11
1,2018-04-06,15,350,8,14,523,11
2,2016-12-02,9,229,7,14,523,11
2,2016-12-02,3,80,5,3,197,8
2,2017-12-05,3,96,6,3,197,8
2,2018-04-06,7,110,7,7,355,9
2,2018-04-06,7,299,11,8,739,12
2,2017-04-03,6,91,6,7,185,8
2,2018-04-06,9,110,7,7,185,8
1,2016-12-02,17,233,9,13,398,12
2,2016-12-02,10,66,5,9,131,6
2,2017-12-05,11,88,5,9,131,6
1,2016-12-02,7,577,14,7,1205,18
1,2018-04-06,8,620,13,7,1205,18
2,2016-12-02,13,19,3,17,417,12
2,2017-08-04,8,347,11,6,453,11
1,2017-12-05,13,69,5,17,289,10
2,2018-04-06,2,793,11,0,758,8
1,2016-12-02,19,133,6,17,475,13
2,2016-12-02,3,104,7,3,200,7
2,2016-12-02,5,127,7,4,154,6
2,2018-04-06,8,128,8,4,154,6
1,2016-12-02,13,274,6,9,582,11
1,2017-12-05,12,372,6,9,582,11
2,2016-12-02,10,84,7,9,160,8
2,2017-12-05,11,98,7,9,160,8
2,2018-04-06,11,100,7,12,521,9
2,2017-12-05,5,40,4,3,143,6
1,2017-12-05,12,88,6,13,328,9
1,2016-12-02,17,284,10,35,762,17
2,2016-12-02,9,284,10,35,762,17
1,2018-04-06,26,216,8,24,1017,16
1,2016-12-02,29,677,14,17,962,16
2,2016-12-02,12,165,7,13,294,10
1,2016-12-02,26,107,6,24,290,9
2,2016-12-02,3,66,6,3,138,8
2,2018-04-06,15,2304,23,13,2207,20
2,2016-12-02,5,60,6,4,120,6
1,2018-04-06,4,98,5,3,384,10
1,2016-12-02,16,135,7,14,418,12
1,2018-04-06,18,231,9,14,418,12
2,2016-12-02,5,100,6,5,178,7
2,2017-12-05,5,121,6,5,178,7
2,2018-04-06,8,56,6,9,158,8
1,2016-12-02,28,551,13,23,602,15
2,2018-04-06,7,62,5,7,108,6
1,2016-12-02,10,199,8,12,362,10
1,2018-04-06,23,895,17,17,1339,20
2,2016-12-02,8,37,5,7,95,6
2,2018-04-06,10,58,5,7,95,6
1,2018-04-06,25,207,8,27,443,11
1,2016-12-02,11,146,6,13,498,13
1,2018-04-06,14,185,7,13,498,13
2,2016-12-02,13,177,9,14,336,11
2,2017-12-05,10,112,7,9,316,10
1,2016-12-02,10,120,7,10,341,11
1,2018-04-06,11,207,10,10,341,11
2,2016-12-02,5,120,7,10,341,11
2,2016-12-02,3,97,6,3,172,7
2,2017-12-05,4,146,8,3,172,7
2,2016-12-02,5,172,6,6,316,6
1,2016-12-02,22,209,9,23,461,14
1,2018-04-06,23,242,10,23,461,14
1,2018-04-06,15,232,9,15,636,14
2,2018-04-06,29,232,10,23,465,14
1,2018-04-06,8,210,7,11,572,13
2,2018-04-06,1,26,3,2,173,7
1,2016-12-02,33,367,10,31,650,14
1,2018-04-06,8,243,9,12,567,12
2,2016-12-02,7,132,7,12,567,12
1,2018-04-06,9,569,15,9,848,15
2,2016-12-02,11,695,15,9,848,15
2,2016-12-02,4,93,6,6,165,6
2,2017-12-05,10,127,8,15,410,11
2,2017-12-05,62,750,14,47,963,19
2,2017-04-03,6,102,5,5,152,6
1,2016-12-02,18,103,5,25,390,10
1,2017-12-05,18,147,6,25,390,10
2,2018-04-06,8,253,8,9,385,10
2,2017-04-03,2,67,5,6,120,6
1,2016-12-02,6,270,10,6,338,9
1,2018-04-06,6,420,11,6,338,9
2,2016-12-02,6,270,10,6,338,9
1,2016-12-02,14,402,10,20,1145,17
1,2017-12-05,14,158,7,13,452,10
1,2016-12-02,25,451,10,21,755,16
1,2018-04-06,24,576,14,21,755,16
2,2017-12-05,11,26,4,20,129,6
2,2016-12-02,24,128,7,19,146,8
2,2018-04-06,17,139,7,19,146,8
1,2016-12-02,12,74,4,12,349,8
2,2017-12-05,9,95,4,9,165,5
2,2016-12-02,13,146,6,12,269,8
2,2016-12-02,9,147,7,7,273,9
2,2016-12-02,8,47,4,9,120,5
2,2018-04-06,14,75,5,9,120,5
2,2017-04-03,0,125,7,0,202,6
2,2018-04-06,0,157,7,0,202,6
1,2016-12-02,34,379,10,31,1005,18
1,2017-12-05,11,307,11,9,563,13
2,2017-12-05,9,305,11,9,563,13
1,2016-12-02,15,188,8,17,384,10
2,2016-12-02,10,116,7,17,384,10
2,2016-12-02,7,107,6,8,127,7
2,2017-12-05,7,162,8,8,127,7
2,2017-04-03,5,110,5,3,229,8
2,2016-12-02,23,277,11,25,489,14
2,2017-12-05,7,131,7,4,245,8
2,2017-12-05,12,204,9,12,265,7
1,2017-04-03,10,190,5,10,229,4
2,2017-04-03,7,189,5,10,229,4
2,2018-04-06,6,247,5,10,229,4
2,2016-12-02,22,136,6,20,296,9
2,2016-12-02,2,69,6,3,140,7
2,2017-12-05,7,87,6,7,168,8
1,2018-04-06,20,72,6,19,327,10
2,2016-12-02,15,98,6,12,134,7
2,2016-12-02,14,318,10,11,423,10
2,2018-04-06,9,185,8,15,467,12
1,2017-08-04,11,107,5,14,241,7
2,2018-04-06,16,86,6,17,232,8
2,2017-12-05,7,34,3,5,128,7
2,2018-04-06,4,85,6,5,172,8
2,2016-12-02,8,49,4,7,88,6
1,2018-04-06,7,88,6,15,271,9
2,2017-04-03,2,82,6,15,271,9
2,2016-12-02,5,161,7,6,468,10
2,2017-12-05,7,118,6,7,299,9
2,2016-12-02,20,116,7,13,136,8
1,2016-12-02,15,228,8,15,926,16
1,2018-04-06,7,212,8,9,726,11
2,2017-08-04,18,143,7,17,130,7
1,2017-12-05,27,425,11,23,849,15
2,2018-04-06,6,27,4,15,121,6
2,2016-12-02,11,54,5,9,160,8
2,2018-04-06,5,77,5,9,160,8
1,2017-12-05,22,383,11,21,865,16
2,2017-04-03,5,83,6,5,154,8
2,2018-04-06,8,108,7,5,154,8
2,2017-04-03,26,198,9,22,223,8
2,2017-12-05,1,132,6,1,202,6
1,2016-12-02,14,213,8,18,597,12
1,2018-04-06,6,136,7,9,374,12
1,2017-04-03,19,365,12,15,570,13
2,2017-08-04,6,204,9,15,570,13
1,2016-12-02,24,144,7,32,564,13
2,2018-04-06,7,74,4,7,22,2
2,2016-12-02,9,140,7,11,228,9
2,2018-04-06,23,82,6,12,147,6
1,2018-04-06,13,573,10,12,1089,12
2,2016-12-02,10,287,7,12,1089,12
2,2017-12-05,13,360,12,10,465,12
2,2016-12-02,9,93,5,9,164,7
2,2017-12-05,11,125,6,9,164,7
2,2017-12-05,3,35,4,5,110,6
2,2018-04-06,7,38,5,7,109,7
2,2017-08-04,4,33,4,5,132,6
1,2017-12-05,30,635,13,26,1037,18
2,2018-04-06,12,178,9,10,233,9
1,2018-04-06,14,448,11,16,1062,20
2,2017-04-03,8,299,9,16,1062,20
1,2018-04-06,24,256,8,22,1023,15
1,2018-04-06,20,482,13,18,906,15
2,2018-04-06,6,198,9,4,399,11
2,2017-08-04,10,80,6,9,265,9
2,2017-08-04,10,81,6,9,121,6
2,2018-04-06,6,98,6,5,171,8
2,2016-12-02,1,279,9,1,252,10
1,2016-12-02,46,1595,20,36,2346,27
2,2016-12-02,17,167,8,20,335,11
1,2018-04-06,10,499,9,9,1027,13
2,2017-08-04,9,113,7,9,403,11
2,2017-08-04,7,55,5,7,309,12
2,2017-12-05,5,74,6,4,142,7
2,2016-12-02,2,124,6,2,134,6
2,2016-12-02,12,205,9,11,272,12
2,2016-12-02,37,666,11,28,1354,13
2,2017-12-05,30,730,11,28,1354,13
2,2017-08-04,16,114,6,12,172,7
1,2016-12-02,22,230,7,18,316,9
1,2018-04-06,28,663,14,25,883,16
2,2018-04-06,15,215,9,13,312,11
1,2017-08-04,20,193,8,13,183,8
2,2016-12-02,6,73,6,5,154,7
2,2018-04-06,6,156,7,5,154,7
2,2018-04-06,3,145,9,3,255,10
2,2016-12-02,5,17,3,5,91,6
2,2016-12-02,5,78,4,5,155,4
2,2016-12-02,15,95,5,20,543,15
2,2018-04-06,13,323,10,9,328,8
2,2016-12-02,19,319,10,20,545,15
2,2018-04-06,19,430,13,20,545,15
2,2017-12-05,10,223,8,8,734,13
1,2016-12-02,47,568,14,48,835,16
1,2018-04-06,59,852,17,48,835,16
1,2016-12-02,23,66,6,23,314,11
1,2018-04-06,23,96,6,23,314,11
2,2016-12-02,7,192,10,8,300,10
2,2018-04-06,8,79,4,6,125,6
2,2018-04-06,11,91,7,9,143,7
1,2017-04-03,16,282,9,13,396,12
2,2018-04-06,3,395,13,5,721,13
2,2017-04-03,9,98,6,9,174,8
2,2018-04-06,8,148,7,9,174,8
1,2018-04-06,19,734,10,17,1812,18
1,2018-04-06,39,1901,21,39,3120,24
2,2016-12-02,8,52,4,8,168,8
2,2018-04-06,9,131,7,8,219,9
2,2016-12-02,29,317,9,26,322,10
1,2018-04-06,30,462,11,25,803,13
